run_number,layers,heads,epochs,train_steps,context_length,embd_dim,batch_size,domain_config,domain_id,experiment_type,use_standard_dataset,debug_mode,status
130,1,2,400,400000,24,64,256,domains.ini,C,comparison,true,false,completed
131,1,2,400,400000,24,64,512,domains.ini,A,comparison,true,false,completed
132,1,2,400,400000,24,64,512,domains.ini,C,comparison,true,false,completed
133,1,2,400,400000,48,16,256,domains.ini,A,comparison,true,false,completed
134,1,2,400,400000,48,16,256,domains.ini,C,comparison,true,false,completed
135,1,2,400,400000,48,16,512,domains.ini,A,comparison,true,false,completed
136,1,2,400,400000,48,16,512,domains.ini,C,comparison,true,false,completed
137,1,2,400,400000,48,32,256,domains.ini,A,comparison,true,false,completed
138,1,2,400,400000,48,32,256,domains.ini,C,comparison,true,false,completed
139,1,2,400,400000,48,32,512,domains.ini,A,comparison,true,false,completed
140,1,2,400,400000,48,32,512,domains.ini,C,comparison,true,false,completed
141,1,2,400,400000,48,64,256,domains.ini,A,comparison,true,false,completed
142,1,2,400,400000,48,64,256,domains.ini,C,comparison,true,false,completed
143,1,2,400,400000,48,64,512,domains.ini,A,comparison,true,false,completed
144,1,2,400,400000,48,64,512,domains.ini,C,comparison,true,false,completed
145,1,4,400,100000,12,16,256,domains.ini,A,comparison,true,false,completed
146,1,4,400,100000,12,16,256,domains.ini,C,comparison,true,false,completed
147,1,4,400,100000,12,16,512,domains.ini,A,comparison,true,false,completed
148,1,4,400,100000,12,16,512,domains.ini,C,comparison,true,false,completed
149,1,4,400,100000,12,32,256,domains.ini,A,comparison,true,false,completed
150,1,4,400,100000,12,32,256,domains.ini,C,comparison,true,false,completed
151,1,4,400,100000,12,32,512,domains.ini,A,comparison,true,false,completed
152,1,4,400,100000,12,32,512,domains.ini,C,comparison,true,false,completed
153,1,4,400,100000,12,64,256,domains.ini,A,comparison,true,false,completed
154,1,4,400,100000,12,64,256,domains.ini,C,comparison,true,false,completed
155,1,4,400,100000,12,64,512,domains.ini,A,comparison,true,false,completed
156,1,4,400,100000,12,64,512,domains.ini,C,comparison,true,false,completed
157,1,4,400,100000,24,16,256,domains.ini,A,comparison,true,false,completed
158,1,4,400,100000,24,16,256,domains.ini,C,comparison,true,false,completed
159,1,4,400,100000,24,16,512,domains.ini,A,comparison,true,false,completed
160,1,4,400,100000,24,16,512,domains.ini,C,comparison,true,false,completed
161,1,4,400,100000,24,32,256,domains.ini,A,comparison,true,false,completed
162,1,4,400,100000,24,32,256,domains.ini,C,comparison,true,false,completed
163,1,4,400,100000,24,32,512,domains.ini,A,comparison,true,false,completed
164,1,4,400,100000,24,32,512,domains.ini,C,comparison,true,false,completed
165,1,4,400,100000,24,64,256,domains.ini,A,comparison,true,false,completed
166,1,4,400,100000,24,64,256,domains.ini,C,comparison,true,false,completed
167,1,4,400,100000,24,64,512,domains.ini,A,comparison,true,false,completed
168,1,4,400,100000,24,64,512,domains.ini,C,comparison,true,false,completed
169,1,4,400,100000,48,16,256,domains.ini,A,comparison,true,false,completed
170,1,4,400,100000,48,16,256,domains.ini,C,comparison,true,false,completed
171,1,4,400,100000,48,16,512,domains.ini,A,comparison,true,false,completed
172,1,4,400,100000,48,16,512,domains.ini,C,comparison,true,false,launched
173,1,4,400,100000,48,32,256,domains.ini,A,comparison,true,false,launched
174,1,4,400,100000,48,32,256,domains.ini,C,comparison,true,false,completed
175,1,4,400,100000,48,32,512,domains.ini,A,comparison,true,false,completed
176,1,4,400,100000,48,32,512,domains.ini,C,comparison,true,false,launched
177,1,4,400,100000,48,64,256,domains.ini,A,comparison,true,false,completed
178,1,4,400,100000,48,64,256,domains.ini,C,comparison,true,false,completed
179,1,4,400,100000,48,64,512,domains.ini,A,comparison,true,false,completed
