model_id,experiment_type,domain_config,domain_id,model_type,num_samples,num_parameters,max_steps,run_number,sequence_length,n_layer,n_head,n_embd,epochs,max_lr,task_id,compile,predict,eval_interval,checkpoint_interval,enforce_data_epochs,batch_size,choice_only,best_val_full_loss,best_val_full_loss_step,best_val_choice_loss,best_val_choice_loss_step,best_val_reward_loss,best_val_reward_loss_step
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,37800,44,12,1,1,32,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7599889039993286,37800,0.2684318721294403,378,0.6217478513717651,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,3568,75800,38,12,1,1,16,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7609156966209412,75800,0.2839820981025696,758,0.6544535756111145,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,75800,41,12,1,1,32,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7601662278175354,75800,0.2835572361946106,1516,0.6488059759140015,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,13280,75800,42,12,1,1,32,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7601662278175354,75800,0.2835572361946106,1516,0.6488059759140015,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,37800,47,12,1,1,64,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7591785192489624,37800,0.2950601875782013,37800,0.6337978839874268,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,37800,48,12,1,1,64,400,0.0006,,False,False,378,1000000.0,False,512,False,0.7591785192489624,37800,0.2950601875782013,37800,0.6337978839874268,378
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,75800,45,12,1,1,64,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7595334053039551,75800,0.2850832641124725,758,0.6357679963111877,0
sweep,comparison,domains.ini,shared_A_C,GPT,38M,51136,75800,46,12,1,1,64,400,0.0006,,False,False,758,1000000.0,False,256,False,0.7595334053039551,75800,0.2850832641124725,758,0.6357679963111877,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,37000,51,24,1,1,16,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7552092671394348,37000,0.2488313317298889,370,0.6493522524833679,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,37000,52,24,1,1,16,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7552092671394348,37000,0.2488313317298889,370,0.6493522524833679,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,74000,49,24,1,1,16,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7554964423179626,74000,0.2815565764904022,740,0.6583247780799866,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,3760,74000,50,24,1,1,16,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7554964423179626,74000,0.2815565764904022,740,0.6583247780799866,740
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,37000,55,24,1,1,32,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7537125945091248,37000,0.2656636834144592,370,0.6175715923309326,370
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,37000,56,24,1,1,32,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7537125945091248,37000,0.2656636834144592,370,0.6175715923309326,370
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,74000,54,24,1,1,32,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7539694905281067,74000,0.2911394238471985,1480,0.6537291407585144,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,13664,74000,53,24,1,1,32,400,0.0006,,False,False,740,1000000.0,False,256,False,0.7539694905281067,74000,0.2911394238471985,1480,0.6537291407585144,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,37000,59,24,1,1,64,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7531232237815857,37000,0.2943384349346161,37000,0.6304704546928406,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,37000,60,24,1,1,64,400,0.0006,,False,False,370,1000000.0,False,512,False,0.7531232237815857,37000,0.2943384349346161,37000,0.6304704546928406,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,74000,57,24,1,1,64,400,0.0006,,False,False,740,1000000.0,False,256,False,0.752609133720398,74000,0.2837884724140167,740,0.6304739713668823,0
sweep,comparison,domains.ini,shared_A_C,GPT,37M,51904,74000,58,24,1,1,64,400,0.0006,,False,False,740,1000000.0,False,256,False,0.752609133720398,74000,0.2837884724140167,740,0.6304739713668823,0
sweep,comparison,domains.ini,shared_A_C,GPT,35M,4144,35000,63,48,1,1,16,400,0.0006,,False,False,350,1000000.0,False,512,False,0.7529451847076416,33950,0.2567746937274933,350,0.6487895846366882,1050
